Find the movies released before January 1st, 2000?
select M.name,M.year,R.date from movies M join released R on M.movie_id=R.movie_id where R.date<2000-01-01;
                                   name                                   | year |    date    
 Shakes the Clown                                                         | 1991 | 1992-03-13
 The Iron Giant                                                           | 1999 | 1999-08-06
 Casper                                                                   | 1995 | 1995-05-26
 City of Angels                                                           | 1998 | 1998-04-10
 The Prince of Egypt                                                      | 1998 | 1998-12-18
 The Lawnmower Man                                                        | 1992 | 1992-03-06
 Virtuosity                                                               | 1995 | 1995-08-04
 Hideaway                                                                 | 1995 | 1995-03-03
 Money Talks                                                              | 1997 | 1997-08-22
 Rush Hour                                                                | 1998 | 1998-09-18
 Dressed to Kill                                                          | 1980 | 1980-07-25
 Blow Out                                                                 | 1981 | 1981-07-24
 Scarface                                                                 | 1983 | 1983-12-09
 Body Double                                                              | 1984 | 1984-10-26
 Wise Guys                                                                | 1986 | 1986-04-18
 The Untouchables                                                         | 1987 | 1987-06-03
 Casualties of War                                                        | 1989 | 1989-08-18
 The Bonfire of the Vanities                                              | 1990 | 1990-12-21
 Raising Cain                                                             | 1992 | 1992-08-07
 Carlito's Way                                                            | 1993 | 1993-11-12
 Mission: Impossible                                                      | 1996 | 1996-05-22
 Snake Eyes                                                               | 1998 | 1998-08-07
 High Road to China                                                       | 1983 | 1983-03-18
 Poltergeist II: the Other Side                                           | 1986 | 1986-05-23
 What's Love Got to Do with It                                            | 1993 | 1993-06-25
 The Juror                                                                | 1996 | 1996-02-02
 Still Crazy                                                              | 1998 | 1999-01-22
 The Frog Prince                                                          | 1985 | 1986-02-21
 Vice Versa                                                               | 1988 | 1988-03-11
 Not Without My Daughter                                                  | 1991 | 1991-01-11
 Tom & Viv                                                                | 1994 | 1994-12-02
 Wilde                                                                    | 1997 | 1998-05-01
 Payback                                                                  | 1999 | 1999-02-05
 The Muppet Christmas Carol                                               | 1992 | 1992-12-11
 Muppet Treasure Island                                                   | 1996 | 1996-02-16
 Problem Child 2                                                          | 1991 | 1991-07-03
 Beethoven                                                                | 1992 | 1992-04-03
 The Flintstones                                                          | 1994 | 1994-05-27
 Jingle All the Way                                                       | 1996 | 1996-11-22
 Good Burger                                                              | 1997 | 1997-07-25
 Varsity Blues                                                            | 1999 | 1999-01-15
 Return of the Living Dead III                                            | 1993 | 1994-02-25
 Harriet the Spy                                                          | 1996 | 1996-07-10
 Forces of Nature                                                         | 1999 | 1999-03-19
 Kuffs                                                                    | 1992 | 1992-01-10
 Breaker Morant                                                           | 1980 | 1980-07-03
 Puberty Blues                                                            | 1981 | 1981-12-10
 Tender Mercies                                                           | 1983 | 1983-03-04
 King David                                                               | 1985 | 1985-03-29
 Crimes of the Heart                                                      | 1986 | 1987-01-23
 The Fringe Dwellers                                                      | 1986 | 1986-10-01
 Driving Miss Daisy                                                       | 1989 | 1990-01-26
 Her Alibi                                                                | 1989 | 1989-02-03
 Black Robe                                                               | 1991 | 1991-10-04
 Silent Fall                                                              | 1994 | 1994-10-28
 Last Dance                                                               | 1996 | 1996-05-03
 Paradise Road                                                            | 1997 | 1997-04-11
 Double Jeopardy                                                          | 1999 | 1999-09-24
 My Life                                                                  | 1993 | 1993-11-12
 Nighthawks                                                               | 1981 | 1981-04-10
 The Man Who Wasn't There                                                 | 1983 | 1983-08-12
 Hard to Kill                                                             | 1990 | 1990-02-09
 Superstar                                                                | 1999 | 1999-10-08
 A Little Sex                                                             | 1982 | 1982-04-02
 Prom Night II                                                            | 1987 | 1987-10-16
 Withnail & I                                                             | 1987 | 1987-06-19
 How to Get Ahead in Advertising                                          | 1989 | 1990-03-29
 Jennifer 8                                                               | 1992 | 1992-11-06
 B̩b̩'s Kids                                                            | 1992 | 1992-07-31
 Humanity                                                                 | 1999 | 1999-10-27
 Camille Claudel                                                          | 1988 | 1989-12-21
 Better Late Than Never                                                   | 1983 | 1983-04-15
 Career Opportunities                                                     | 1991 | 1991-03-29
 The Usual Suspects                                                       | 1995 | 1995-08-16
 Apt Pupil                                                                | 1998 | 1998-10-23
 Mighty Morphin Power Rangers: The Movie                                  | 1995 | 1995-06-30
 For Richer or Poorer                                                     | 1997 | 1997-12-12
 McHale's Navy                                                            | 1997 | 1997-04-18
 First Family                                                             | 1980 | 1980-12-25
 Johnny Be Good                                                           | 1988 | 1988-03-25
 Twice in a Lifetime                                                      | 1985 | 1985-11-08
 Arthur 2: on the Rocks                                                   | 1988 | 1988-07-08
 Any Which Way You Can                                                    | 1980 | 1980-12-17
 The Dead Pool                                                            | 1988 | 1988-07-13
 Pink Cadillac                                                            | 1989 | 1989-05-26
 Suburban Commando                                                        | 1991 | 1991-10-04
 Sharky's Machine                                                         | 1981 | 1981-12-18
 Stick                                                                    | 1985 | 1985-04-26
 Scream                                                                   | 1981 | 1981-01-01
 L'ennui                                                                  | 1998 | 1998-12-16
 The Escape Artist                                                        | 1982 | 1982-05-28
 Say Anything                                                             | 1989 | 1989-04-14
 Singles                                                                  | 1992 | 1992-09-18
 Jerry Maguire                                                            | 1996 | 1996-12-13
 The Unholy                                                               | 1988 | 1988-04-22
 Big Night                                                                | 1996 | 1996-09-20
 One False Move                                                           | 1992 | 1992-05-08
 Devil in a Blue Dress                                                    | 1995 | 1995-09-29
 One True Thing                                                           | 1998 | 1998-09-18
 Caveman                                                                  | 1981 | 1981-04-17
 Dead Men Don't Wear Plaid                                                | 1982 | 1982-05-21
